category,subcategory,sub_subcategory,detail
arts_entertainment,visual_arts,painting,
arts_entertainment,visual_arts,sculpture,
arts_entertainment,visual_arts,photography,
arts_entertainment,music,classical,
arts_entertainment,music,popular,
arts_entertainment,music,jazz,
arts_entertainment,film_tv,movies,
arts_entertainment,film_tv,television,
arts_entertainment,film_tv,streaming,
business_finance,ecommerce,retail,
business_finance,ecommerce,marketplace,
business_finance,banking,commercial,
business_finance,banking,investment,
business_finance,banking,retail,
business_finance,investment,stocks,
business_finance,investment,bonds,
business_finance,investment,crypto,
business_finance,insurance,life,
business_finance,insurance,health,
business_finance,insurance,property,
business_finance,real_estate,residential,
business_finance,real_estate,commercial,
business_finance,real_estate,industrial,
communications,telecom,mobile,
communications,telecom,internet,
communications,telecom,infrastructure,
communications,marketing,digital,
communications,marketing,traditional,
communications,marketing,social_media,
construction,residential,houses,
construction,residential,apartments,
construction,commercial,offices,
construction,commercial,retail,
construction,industrial,factories,
construction,industrial,warehouses,
energy,renewable,solar,
energy,renewable,wind,
energy,renewable,hydro,
energy,fossil_fuels,oil,
energy,fossil_fuels,gas,
energy,fossil_fuels,coal,
energy,nuclear,fission,
energy,nuclear,research,
fashion_retail,apparel,luxury,
fashion_retail,apparel,casual,
fashion_retail,accessories,jewelry,
fashion_retail,accessories,bags,
fashion_retail,footwear,casual,
fashion_retail,footwear,athletic,
food_beverage,restaurants,fine_dining,
food_beverage,restaurants,fast_food,
food_beverage,restaurants,casual_dining,
food_beverage,agriculture,farming,
food_beverage,agriculture,livestock,
food_beverage,processing,packaged_foods,
food_beverage,processing,beverages,
health_wellness,medical,hospitals,
health_wellness,medical,clinics,
health_wellness,medical,research,
health_wellness,fitness,gyms,
health_wellness,fitness,equipment,
health_wellness,mental_health,therapy,
health_wellness,mental_health,counseling,
manufacturing,automotive,vehicles,
manufacturing,automotive,parts,
manufacturing,electronics,consumer,
manufacturing,electronics,industrial,
manufacturing,machinery,industrial,
manufacturing,machinery,agricultural,
science_nature,physics,quantum,
science_nature,physics,mechanics,
science_nature,physics,relativity,
science_nature,chemistry,organic,
science_nature,chemistry,inorganic,
science_nature,chemistry,physical,
science_nature,biology,molecular,
science_nature,biology,genetics,
science_nature,biology,ecology,
science_nature,astronomy,cosmology,
science_nature,astronomy,planetary,
science_nature,astronomy,astrophysics,
science_nature,geology,mineralogy,
science_nature,geology,tectonics,
science_nature,environmental,climate,
science_nature,environmental,conservation,
sports_recreation,team_sports,basketball,nba
sports_recreation,team_sports,basketball,international
sports_recreation,team_sports,football,nfl
sports_recreation,team_sports,football,soccer
sports_recreation,team_sports,baseball,mlb
sports_recreation,team_sports,hockey,nhl
sports_recreation,combat_sports,boxing,professional
sports_recreation,combat_sports,boxing,amateur
sports_recreation,combat_sports,mma,ufc
sports_recreation,combat_sports,wrestling,freestyle
sports_recreation,individual_sports,tennis,
sports_recreation,individual_sports,golf,
sports_recreation,individual_sports,athletics,
technology,software,enterprise,
technology,software,consumer,
technology,software,mobile,
technology,hardware,computers,
technology,hardware,mobile,
technology,hardware,networking,
technology,ai_ml,applications,
technology,ai_ml,research,
technology,cloud,infrastructure,
technology,cloud,services,
tourism_hospitality,hotels,luxury,
tourism_hospitality,hotels,budget,
tourism_hospitality,travel,air,
tourism_hospitality,travel,cruise,
tourism_hospitality,attractions,theme_parks,
tourism_hospitality,attractions,museums,
transportation,automotive,personal,
transportation,automotive,commercial,
transportation,aviation,commercial,
transportation,aviation,private,
transportation,shipping,maritime,
transportation,shipping,logistics,
